Id,Price
4567,153775.25515625
5925,122265.687421875
960,140465.512109375
3848,130969.62484375
746,177477.70359375
868,330782.93734375
672,118505.842578125
2471,192072.5396875
4510,124457.68453125
8354,240230.663984375
6393,180587.982421875
13270,230905.04484375
5250,326890.373984375
16751,176963.31484375
11404,129730.346328125
10588,350019.269765625
14925,185803.95890625
6791,222592.50859375
16097,179381.54375
16428,362174.7125
6945,352983.84203125
3190,185615.89375
15709,410637.2975
13155,180031.58296875
7675,196708.297890625
14686,236300.748984375
609,159159.27421875
11155,144529.221328125
10869,197019.686015625
15742,183213.8828125
9245,185319.46
3340,159139.91046875
2359,279410.97921875
8070,209084.374375
13707,130144.0834375
16079,251089.421171875
15937,287981.69359375
14090,195180.918125
9008,203154.9421875
16384,188927.78125
11657,247795.74078125
13151,157012.378046875
8990,155014.371796875
11857,186997.956328125
1565,160277.4
8174,113520.723828125
9247,259654.1865625
10478,210080.070078125
15509,151045.784921875
8306,206620.06515625
6642,186781.351875
7472,215372.119375
15989,136263.137890625
13682,128259.248828125
163,244752.7971875
7076,172455.5609375
7478,349096.1290625
3029,191285.66875
1814,143110.26546875
10057,142962.936640625
15100,197375.42328125
12694,245819.2390625
6291,190812.97796875
12603,187061.5903125
3218,252259.9184375
13456,132477.9259375
10170,238171.8646875
4530,150556.995546875
13329,168859.296640625
4820,140568.0265625
10896,163411.483984375
13416,111245.476484375
2701,201081.578828125
11265,341390.40015625
9189,229013.155
1858,171134.800078125
14536,237880.49171875
6199,310883.8309375
14730,151210.933046875
7510,282072.3071875
15505,168953.800078125
7446,196269.5815625
14016,196683.787734375
14113,106871.932109375
8721,313782.7609375
6193,294014.145
5717,179273.1440625
5427,323242.705859375
9520,545830.3709375
6869,108602.320625
1658,151658.21953125
6639,192758.077890625
6283,195556.177890625
6257,123202.221171875
15235,174818.03296875
902,220212.85359375
8932,195900.87328125
16469,343414.28859375
2825,245504.70921875
6450,422668.9046875
11366,178826.41296875
3801,363111.416875
11385,200211.37171875
1079,192223.925625
3202,224269.44390625
676,227228.30671875
6185,263590.46109375
7730,150963.0571875
2573,184990.9940625
10978,209608.6575
10962,247065.010703125
8870,196875.22109375
8496,173798.556484375
5517,179138.740859375
927,186648.802578125
13675,200461.5784375
1499,232905.12125
